Part_ID,Part_Name,Category,Model_Compatibility,Price_PKR,Stock_Quantity
P0001,Air Cleaner Filter,Rubber/Misc,70cc,160,141
P0002,Drum Rubber,Rubber/Misc,125cc,220,74
P0003,Disc Pad,Braking,125cc,450,61
P0004,Piston Kit,Engine,125cc,1850,61
P0005,Mudguard Front,Body/Frame,100cc,750,247
P0006,Cylinder Block,Engine,100cc,3800,294
P0007,Air Cleaner Filter,Rubber/Misc,125cc,320,185
P0008,Disc Pad,Braking,100cc,320,281
P0009,Drive Chain,Drivetrain,100cc,600,190
P0010,Mudguard Front,Body/Frame,125cc,1150,341
P0011,Side Cover,Body/Frame,100cc,950,371
P0012,Cylinder Block,Engine,125cc,4800,343
P0013,Indicator Relay,Electrical,70cc,90,132
P0014,Indicator Relay,Electrical,125cc,150,122
P0015,Air Cleaner Filter,Rubber/Misc,125cc,320,312
P0016,Drive Chain,Drivetrain,100cc,600,479
P0017,Spark Plug,Electrical,125cc,385,30
P0018,Brake Cable,Braking,100cc,180,431
P0019,Brake Cable,Braking,100cc,180,212
P0020,Rear Axle,Drivetrain,70cc,220,375
P0021,Drum Rubber,Rubber/Misc,70cc,120,251
P0022,Headlight Assembly,Electrical,100cc,750,388
P0023,Oil Pump,Engine,70cc,380,451
P0024,CDI Unit,Electrical,70cc,320,55
P0025,Piston Kit,Engine,100cc,1350,463
P0026,Mudguard Front,Body/Frame,70cc,550,321
P0027,Brake Lever,Braking,100cc,140,149
P0028,Cylinder Block,Engine,100cc,3800,186
P0029,Fuel Tank,Body/Frame,100cc,3600,148
P0030,Mudguard Front,Body/Frame,70cc,550,425
P0031,Footrest Rubber,Rubber/Misc,70cc,120,292
P0032,Headlight Assembly,Electrical,100cc,750,1
P0033,Cylinder Block,Engine,125cc,4800,373
P0034,Brake Cable,Braking,125cc,220,34
P0035,Brake Shoe Set,Braking,70cc,280,426
P0036,Handle Bar,Body/Frame,125cc,850,399
P0037,Handle Grip,Rubber/Misc,100cc,150,93
P0038,Cylinder Block,Engine,125cc,4800,363
P0039,Footrest Rubber,Rubber/Misc,125cc,160,438
P0040,Oil Pump,Engine,100cc,480,188
P0041,Mudguard Rear,Body/Frame,100cc,780,219
P0042,Disc Pad,Braking,70cc,250,156
P0043,Brake Shoe Set,Braking,100cc,380,184
P0044,Rear Axle,Drivetrain,70cc,220,32
P0045,Clutch Plate Set,Engine,100cc,850,436
P0046,Ignition Switch,Electrical,70cc,450,213
P0047,Mudguard Front,Body/Frame,125cc,1150,447
P0048,Ignition Switch,Electrical,100cc,600,283
P0049,Indicator Relay,Electrical,70cc,90,321
P0050,Gasket Kit,Engine,70cc,180,368
P0051,Handle Grip,Rubber/Misc,125cc,180,346
P0052,CDI Unit,Electrical,100cc,450,283
P0053,Oil Pump,Engine,125cc,680,213
P0054,Disc Pad,Braking,125cc,450,482
P0055,Disc Pad,Braking,70cc,250,2
P0056,Headlight Assembly,Electrical,70cc,550,443
P0057,Footrest Rubber,Rubber/Misc,70cc,120,198
P0058,Footrest Rubber,Rubber/Misc,100cc,140,273
P0059,CDI Unit,Electrical,70cc,320,196
P0060,Side Cover,Body/Frame,70cc,750,331
P0061,Drum Rubber,Rubber/Misc,70cc,120,225
P0062,Mudguard Front,Body/Frame,70cc,550,209
P0063,Ignition Switch,Electrical,125cc,850,383
P0064,Headlight Assembly,Electrical,70cc,550,301
P0065,Footrest Rubber,Rubber/Misc,100cc,140,2
P0066,Fuel Tank,Body/Frame,125cc,4800,37
P0067,CDI Unit,Electrical,125cc,650,230
P0068,CDI Unit,Electrical,70cc,320,307
P0069,Air Cleaner Filter,Rubber/Misc,100cc,220,459
P0070,Mudguard Rear,Body/Frame,70cc,600,246
P0071,Indicator Relay,Electrical,100cc,120,296
P0072,Footrest Rubber,Rubber/Misc,125cc,160,443
P0073,Mudguard Front,Body/Frame,70cc,550,240
P0074,Headlight Assembly,Electrical,70cc,550,78
P0075,Brake Lever,Braking,70cc,120,4
P0076,Brake Shoe Set,Braking,100cc,380,156
P0077,Clutch Plate Set,Engine,70cc,550,292
P0078,Footrest Rubber,Rubber/Misc,125cc,160,63
P0079,Clutch Plate Set,Engine,100cc,850,15
P0080,Cylinder Block,Engine,125cc,4800,249
P0081,Mudguard Rear,Body/Frame,100cc,780,358
P0082,CDI Unit,Electrical,100cc,450,381
P0083,Drum Rubber,Rubber/Misc,100cc,160,353
P0084,Rear Axle,Drivetrain,125cc,380,208
P0085,Oil Pump,Engine,125cc,680,97
P0086,CDI Unit,Electrical,70cc,320,245
P0087,Gasket Kit,Engine,70cc,180,228
P0088,Fuel Tank,Body/Frame,125cc,4800,393
P0089,Footrest Rubber,Rubber/Misc,100cc,140,55
P0090,Handle Bar,Body/Frame,70cc,500,442
P0091,Drive Chain,Drivetrain,125cc,850,385
P0092,Cylinder Block,Engine,125cc,4800,199
P0093,Ignition Switch,Electrical,70cc,450,400
P0094,Piston Kit,Engine,125cc,1850,403
P0095,Side Cover,Body/Frame,125cc,1350,65
P0096,Air Cleaner Filter,Rubber/Misc,100cc,220,140
P0097,Mudguard Rear,Body/Frame,100cc,780,21
P0098,Drive Chain,Drivetrain,100cc,600,340
P0099,Ignition Switch,Electrical,125cc,850,246
P0100,Air Cleaner Filter,Rubber/Misc,100cc,220,447
P0101,Side Cover,Body/Frame,125cc,1350,397
P0102,Air Cleaner Filter,Rubber/Misc,70cc,160,405
P0103,Rear Axle,Drivetrain,70cc,220,231
P0104,Brake Lever,Braking,125cc,180,126
P0105,Spark Plug,Electrical,125cc,385,153
P0106,Indicator Relay,Electrical,125cc,150,278
P0107,Piston Kit,Engine,100cc,1350,452
P0108,Sprocket Hub,Drivetrain,70cc,480,293
P0109,Rear Axle,Drivetrain,125cc,380,246
P0110,CDI Unit,Electrical,100cc,450,58
P0111,Rear Axle,Drivetrain,125cc,380,373
P0112,Air Cleaner Filter,Rubber/Misc,125cc,320,119
P0113,Drive Chain,Drivetrain,100cc,600,130
P0114,Cylinder Block,Engine,125cc,4800,381
P0115,Mudguard Front,Body/Frame,125cc,1150,326
P0116,Headlight Assembly,Electrical,70cc,550,152
P0117,Disc Pad,Braking,125cc,450,407
P0118,CDI Unit,Electrical,100cc,450,401
P0119,CDI Unit,Electrical,125cc,650,365
P0120,Drum Rubber,Rubber/Misc,70cc,120,94
P0121,Footrest Rubber,Rubber/Misc,125cc,160,136
P0122,Gasket Kit,Engine,100cc,260,346
P0123,Air Cleaner Filter,Rubber/Misc,70cc,160,228
P0124,Footrest Rubber,Rubber/Misc,70cc,120,64
P0125,Footrest Rubber,Rubber/Misc,70cc,120,78
P0126,Drive Chain,Drivetrain,125cc,850,425
P0127,Oil Pump,Engine,125cc,680,213
P0128,Piston Kit,Engine,70cc,950,358
P0129,Rear Axle,Drivetrain,70cc,220,111
P0130,Ignition Switch,Electrical,70cc,450,25
P0131,Brake Cable,Braking,125cc,220,443
P0132,Sprocket Hub,Drivetrain,125cc,850,103
P0133,Rear Axle,Drivetrain,125cc,380,456
P0134,Spark Plug,Electrical,100cc,350,234
P0135,Side Cover,Body/Frame,125cc,1350,103
P0136,Air Cleaner Filter,Rubber/Misc,70cc,160,484
P0137,Gasket Kit,Engine,70cc,180,483
P0138,Footrest Rubber,Rubber/Misc,125cc,160,0
P0139,Spark Plug,Electrical,100cc,350,109
P0140,Ignition Switch,Electrical,125cc,850,167
P0141,Indicator Relay,Electrical,100cc,120,74
P0142,Fuel Tank,Body/Frame,125cc,4800,251
P0143,Brake Shoe Set,Braking,100cc,380,461
P0144,Headlight Assembly,Electrical,100cc,750,443
P0145,Chain Sprocket Kit,Drivetrain,100cc,2150,89
P0146,Clutch Plate Set,Engine,100cc,850,494
P0147,Mudguard Front,Body/Frame,100cc,750,343
P0148,Clutch Plate Set,Engine,125cc,2200,95
P0149,Ignition Switch,Electrical,70cc,450,83
P0150,Spark Plug,Electrical,70cc,350,296
P0151,Cylinder Block,Engine,125cc,4800,120
P0152,Brake Shoe Set,Braking,100cc,380,74
P0153,Spark Plug,Electrical,125cc,385,252
P0154,Ignition Switch,Electrical,70cc,450,499
P0155,Brake Cable,Braking,100cc,180,251
P0156,Ignition Switch,Electrical,70cc,450,159
P0157,Sprocket Hub,Drivetrain,100cc,620,156
P0158,Drum Rubber,Rubber/Misc,100cc,160,239
P0159,Ignition Switch,Electrical,100cc,600,474
P0160,Disc Pad,Braking,100cc,320,481
P0161,Mudguard Rear,Body/Frame,125cc,1100,457
P0162,Disc Pad,Braking,125cc,450,155
P0163,Drum Rubber,Rubber/Misc,125cc,220,205
P0164,CDI Unit,Electrical,100cc,450,211
P0165,CDI Unit,Electrical,100cc,450,305
P0166,Drive Chain,Drivetrain,125cc,850,148
P0167,Drum Rubber,Rubber/Misc,100cc,160,187
P0168,Footrest Rubber,Rubber/Misc,100cc,140,296
P0169,Clutch Plate Set,Engine,100cc,850,357
P0170,Side Cover,Body/Frame,100cc,950,307
P0171,Rear Axle,Drivetrain,100cc,280,73
P0172,Piston Kit,Engine,125cc,1850,314
P0173,Clutch Plate Set,Engine,125cc,2200,9
P0174,Spark Plug,Electrical,125cc,385,218
P0175,Drive Chain,Drivetrain,70cc,450,17
P0176,Ignition Switch,Electrical,125cc,850,430
P0177,Sprocket Hub,Drivetrain,125cc,850,366
P0178,Mudguard Front,Body/Frame,100cc,750,497
P0179,Side Cover,Body/Frame,70cc,750,355
P0180,Air Cleaner Filter,Rubber/Misc,125cc,320,115
P0181,Rear Axle,Drivetrain,125cc,380,160
P0182,Gasket Kit,Engine,125cc,380,456
P0183,Gasket Kit,Engine,100cc,260,224
P0184,Footrest Rubber,Rubber/Misc,125cc,160,275
P0185,Footrest Rubber,Rubber/Misc,100cc,140,248
P0186,Drive Chain,Drivetrain,70cc,450,445
P0187,Side Cover,Body/Frame,100cc,950,145
P0188,Disc Pad,Braking,70cc,250,169
P0189,Drum Rubber,Rubber/Misc,125cc,220,217
P0190,Ignition Switch,Electrical,125cc,850,262
P0191,Handle Grip,Rubber/Misc,70cc,120,94
P0192,Brake Cable,Braking,70cc,140,381
P0193,Indicator Relay,Electrical,125cc,150,267
P0194,Brake Lever,Braking,100cc,140,22
P0195,Headlight Assembly,Electrical,125cc,1250,365
P0196,Footrest Rubber,Rubber/Misc,100cc,140,496
P0197,Drive Chain,Drivetrain,125cc,850,415
P0198,Handle Bar,Body/Frame,100cc,650,322
P0199,Footrest Rubber,Rubber/Misc,125cc,160,37
P0200,Disc Pad,Braking,125cc,450,114
P0201,Side Cover,Body/Frame,125cc,1350,429
P0202,Chain Sprocket Kit,Drivetrain,70cc,1650,159
P0203,Side Cover,Body/Frame,125cc,1350,316
P0204,CDI Unit,Electrical,125cc,650,230
P0205,Chain Sprocket Kit,Drivetrain,70cc,1650,107
P0206,Clutch Plate Set,Engine,100cc,850,34
P0207,Handle Grip,Rubber/Misc,70cc,120,248
P0208,Fuel Tank,Body/Frame,125cc,4800,258
P0209,Chain Sprocket Kit,Drivetrain,100cc,2150,494
P0210,Handle Grip,Rubber/Misc,100cc,150,120
P0211,Headlight Assembly,Electrical,70cc,550,483
P0212,Fuel Tank,Body/Frame,125cc,4800,98
P0213,Side Cover,Body/Frame,100cc,950,369
P0214,Rear Axle,Drivetrain,100cc,280,119
P0215,CDI Unit,Electrical,100cc,450,151
P0216,Mudguard Rear,Body/Frame,100cc,780,385
P0217,Spark Plug,Electrical,70cc,350,477
P0218,Footrest Rubber,Rubber/Misc,125cc,160,333
P0219,Piston Kit,Engine,100cc,1350,286
P0220,Ignition Switch,Electrical,100cc,600,296
P0221,Drive Chain,Drivetrain,125cc,850,121
P0222,Disc Pad,Braking,100cc,320,110
P0223,Piston Kit,Engine,100cc,1350,129
P0224,Footrest Rubber,Rubber/Misc,125cc,160,285
P0225,Drum Rubber,Rubber/Misc,125cc,220,207
P0226,Rear Axle,Drivetrain,70cc,220,266
P0227,Ignition Switch,Electrical,100cc,600,236
P0228,Gasket Kit,Engine,100cc,260,309
P0229,Cylinder Block,Engine,100cc,3800,340
P0230,Drum Rubber,Rubber/Misc,70cc,120,285
P0231,Drum Rubber,Rubber/Misc,70cc,120,462
P0232,Headlight Assembly,Electrical,70cc,550,72
P0233,Indicator Relay,Electrical,125cc,150,304
P0234,CDI Unit,Electrical,125cc,650,469
P0235,Handle Bar,Body/Frame,70cc,500,403
P0236,Chain Sprocket Kit,Drivetrain,100cc,2150,100
P0237,Spark Plug,Electrical,100cc,350,45
P0238,Mudguard Rear,Body/Frame,70cc,600,112
P0239,Sprocket Hub,Drivetrain,100cc,620,49
P0240,Brake Shoe Set,Braking,70cc,280,334
P0241,Mudguard Rear,Body/Frame,125cc,1100,195
P0242,Air Cleaner Filter,Rubber/Misc,70cc,160,101
P0243,Drum Rubber,Rubber/Misc,100cc,160,493
P0244,Chain Sprocket Kit,Drivetrain,100cc,2150,142
P0245,Fuel Tank,Body/Frame,70cc,2800,250
P0246,Headlight Assembly,Electrical,70cc,550,465
P0247,Handle Bar,Body/Frame,70cc,500,408
P0248,Handle Grip,Rubber/Misc,125cc,180,26
P0249,Footrest Rubber,Rubber/Misc,70cc,120,360
P0250,Chain Sprocket Kit,Drivetrain,70cc,1650,51
P0251,Air Cleaner Filter,Rubber/Misc,100cc,220,95
P0252,Cylinder Block,Engine,125cc,4800,349
P0253,Rear Axle,Drivetrain,125cc,380,499
P0254,Spark Plug,Electrical,100cc,350,327
P0255,Clutch Plate Set,Engine,100cc,850,191
P0256,Brake Cable,Braking,70cc,140,322
P0257,Drum Rubber,Rubber/Misc,70cc,120,82
P0258,Drive Chain,Drivetrain,100cc,600,259
P0259,Side Cover,Body/Frame,100cc,950,75
P0260,Ignition Switch,Electrical,125cc,850,331
P0261,Drive Chain,Drivetrain,100cc,600,456
P0262,CDI Unit,Electrical,100cc,450,10
P0263,Spark Plug,Electrical,125cc,385,437
P0264,Fuel Tank,Body/Frame,100cc,3600,70
P0265,Rear Axle,Drivetrain,70cc,220,288
P0266,Air Cleaner Filter,Rubber/Misc,70cc,160,8
P0267,Clutch Plate Set,Engine,70cc,550,369
P0268,Brake Shoe Set,Braking,100cc,380,135
P0269,Footrest Rubber,Rubber/Misc,70cc,120,33
P0270,Footrest Rubber,Rubber/Misc,70cc,120,396
P0271,Brake Lever,Braking,100cc,140,342
P0272,Mudguard Front,Body/Frame,70cc,550,358
P0273,Mudguard Front,Body/Frame,70cc,550,184
P0274,Indicator Relay,Electrical,100cc,120,45
P0275,CDI Unit,Electrical,70cc,320,377
P0276,Brake Cable,Braking,100cc,180,466
P0277,Brake Lever,Braking,100cc,140,89
P0278,Clutch Plate Set,Engine,125cc,2200,418
P0279,Spark Plug,Electrical,70cc,350,125
P0280,Clutch Plate Set,Engine,100cc,850,321
P0281,Brake Cable,Braking,70cc,140,274
P0282,Drive Chain,Drivetrain,125cc,850,300
P0283,Ignition Switch,Electrical,125cc,850,366
P0284,Clutch Plate Set,Engine,125cc,2200,263
P0285,Clutch Plate Set,Engine,125cc,2200,343
P0286,Brake Shoe Set,Braking,70cc,280,54
P0287,Rear Axle,Drivetrain,70cc,220,179
P0288,Fuel Tank,Body/Frame,100cc,3600,141
P0289,Rear Axle,Drivetrain,100cc,280,103
P0290,Piston Kit,Engine,100cc,1350,292
P0291,Ignition Switch,Electrical,100cc,600,11
P0292,Headlight Assembly,Electrical,70cc,550,482
P0293,Mudguard Rear,Body/Frame,100cc,780,457
P0294,Chain Sprocket Kit,Drivetrain,100cc,2150,315
P0295,Disc Pad,Braking,125cc,450,106
P0296,Fuel Tank,Body/Frame,70cc,2800,281
P0297,Brake Shoe Set,Braking,100cc,380,207
P0298,Brake Shoe Set,Braking,100cc,380,395
P0299,Brake Cable,Braking,125cc,220,403
P0300,Mudguard Front,Body/Frame,70cc,550,173
P0301,Rear Axle,Drivetrain,100cc,280,15
P0302,Drive Chain,Drivetrain,70cc,450,351
P0303,Disc Pad,Braking,100cc,320,30
P0304,Disc Pad,Braking,125cc,450,370
P0305,Footrest Rubber,Rubber/Misc,100cc,140,232
P0306,Brake Shoe Set,Braking,100cc,380,478
P0307,Brake Shoe Set,Braking,125cc,550,382
P0308,Cylinder Block,Engine,100cc,3800,340
P0309,Clutch Plate Set,Engine,125cc,2200,210
P0310,Cylinder Block,Engine,70cc,2800,492
P0311,Handle Grip,Rubber/Misc,125cc,180,242
P0312,Handle Bar,Body/Frame,125cc,850,422
P0313,Chain Sprocket Kit,Drivetrain,125cc,2850,82
P0314,Brake Shoe Set,Braking,125cc,550,238
P0315,Indicator Relay,Electrical,70cc,90,350
P0316,Piston Kit,Engine,125cc,1850,276
P0317,Cylinder Block,Engine,125cc,4800,313
P0318,Drum Rubber,Rubber/Misc,100cc,160,287
P0319,Handle Grip,Rubber/Misc,70cc,120,14
P0320,Oil Pump,Engine,70cc,380,481
P0321,Brake Cable,Braking,100cc,180,382
P0322,Spark Plug,Electrical,125cc,385,354
P0323,Handle Grip,Rubber/Misc,70cc,120,79
P0324,Handle Grip,Rubber/Misc,125cc,180,365
P0325,Brake Shoe Set,Braking,70cc,280,452
P0326,Drive Chain,Drivetrain,70cc,450,443
P0327,Chain Sprocket Kit,Drivetrain,100cc,2150,180
P0328,Drum Rubber,Rubber/Misc,100cc,160,246
P0329,Drive Chain,Drivetrain,100cc,600,420
P0330,Spark Plug,Electrical,70cc,350,216
P0331,Brake Lever,Braking,125cc,180,283
P0332,Spark Plug,Electrical,100cc,350,494
P0333,Spark Plug,Electrical,70cc,350,200
P0334,Mudguard Front,Body/Frame,100cc,750,435
P0335,Drive Chain,Drivetrain,125cc,850,483
P0336,Brake Cable,Braking,70cc,140,341
P0337,Drum Rubber,Rubber/Misc,100cc,160,97
P0338,Footrest Rubber,Rubber/Misc,70cc,120,451
P0339,Gasket Kit,Engine,125cc,380,204
P0340,Mudguard Rear,Body/Frame,125cc,1100,97
P0341,CDI Unit,Electrical,70cc,320,431
P0342,Disc Pad,Braking,100cc,320,483
P0343,Gasket Kit,Engine,125cc,380,249
P0344,Drive Chain,Drivetrain,100cc,600,349
P0345,Chain Sprocket Kit,Drivetrain,70cc,1650,61
P0346,Brake Lever,Braking,70cc,120,101
P0347,Fuel Tank,Body/Frame,100cc,3600,291
P0348,Chain Sprocket Kit,Drivetrain,100cc,2150,461
P0349,Disc Pad,Braking,70cc,250,411
P0350,Gasket Kit,Engine,70cc,180,355
P0351,Chain Sprocket Kit,Drivetrain,125cc,2850,292
P0352,Rear Axle,Drivetrain,100cc,280,424
P0353,Brake Lever,Braking,125cc,180,68
P0354,Ignition Switch,Electrical,70cc,450,277
P0355,Fuel Tank,Body/Frame,125cc,4800,335
P0356,Brake Shoe Set,Braking,70cc,280,173
P0357,Rear Axle,Drivetrain,100cc,280,251
P0358,Drum Rubber,Rubber/Misc,70cc,120,4
P0359,Ignition Switch,Electrical,125cc,850,357
P0360,Piston Kit,Engine,70cc,950,457
P0361,Gasket Kit,Engine,70cc,180,98
P0362,Handle Grip,Rubber/Misc,100cc,150,207
P0363,Spark Plug,Electrical,100cc,350,70
P0364,Sprocket Hub,Drivetrain,70cc,480,165
P0365,Cylinder Block,Engine,70cc,2800,347
P0366,Drive Chain,Drivetrain,70cc,450,203
P0367,Drum Rubber,Rubber/Misc,70cc,120,182
P0368,Brake Cable,Braking,70cc,140,219
P0369,Brake Lever,Braking,125cc,180,80
P0370,Footrest Rubber,Rubber/Misc,100cc,140,378
P0371,Handle Grip,Rubber/Misc,100cc,150,227
P0372,Mudguard Rear,Body/Frame,125cc,1100,141
P0373,Ignition Switch,Electrical,125cc,850,315
P0374,Brake Shoe Set,Braking,125cc,550,3
P0375,Side Cover,Body/Frame,70cc,750,214
P0376,Side Cover,Body/Frame,100cc,950,399
P0377,Mudguard Front,Body/Frame,100cc,750,120
P0378,Cylinder Block,Engine,125cc,4800,134
P0379,Brake Lever,Braking,100cc,140,71
P0380,CDI Unit,Electrical,100cc,450,499
P0381,Drive Chain,Drivetrain,125cc,850,259
P0382,Spark Plug,Electrical,70cc,350,348
P0383,Piston Kit,Engine,125cc,1850,224
P0384,Mudguard Rear,Body/Frame,70cc,600,340
